Location,Total
Alabama,0.17
Alaska,0.11
Arizona,0.14
Arkansas,0.17
California,0.13
Colorado,0.1
Connecticut,0.1
Delaware,0.12
District of Columbia,0.17
Florida,0.13
Georgia,0.14
Hawaii,0.09
Idaho,0.12
Illinois,0.12
Indiana,0.13
Iowa,0.11
Kansas,0.12
Kentucky,0.17
Louisiana,0.19
Maine,0.11
Maryland,0.09
Massachusetts,0.1
Michigan,0.14
Minnesota,0.1
Mississippi,0.2
Missouri,0.13
Montana,0.12
Nebraska,0.11
Nevada,0.13
New Hampshire,0.07
New Jersey,0.09
New Mexico,0.2
New York,0.14
North Carolina,0.14
North Dakota,0.1
Ohio,0.14
Oklahoma,0.15
Oregon,0.12
Pennsylvania,0.12
Rhode Island,0.13
South Carolina,0.15
South Dakota,0.13
Tennessee,0.15
Texas,0.15
Utah,0.09
Vermont,0.11
Virginia,0.11
Washington,0.1
West Virginia,0.18
Wisconsin,0.11
Wyoming,0.11
